資料日期,基金代碼,基金ISIN_CODE,基金名稱,基金種類,基金細項,投資區域,投資細項,計價幣別,基金總代理名稱,境外基金機構,淨值日期,最新淨值
20241207,AXAWUHYBT,LU0877918663,安盛環球基金-美國非投資等級債券基金 T DIS 「fl」美元(月配息),固定收益型,非投資等級債券,單一國家,美國,美元,富盛證券投資顧問股份有限公司,AXA INVESTMENT MANAGERS PARIS(安盛環球),20241205,78.99
20241207,AXAWUYBB,LU2438620515,安盛環球基金-美國非投資等級債券基金BL DIS「fl」美元 (月配息),固定收益型,非投資等級債券,單一國家,美國,美元,富盛證券投資顧問股份有限公司,AXA INVESTMENT MANAGERS PARIS(安盛環球),20241205,88.26
20241207,AXF,LU2249902946,M&G入息基金X (美元避險月配後收)F,平衡型(混合型),平衡型(混合型),全球,混合,美元,富盛證券投資顧問股份有限公司,M&G LUXEMBOURG S.A.,20241205,78.9298
20241207,AXU,LU2178217977,M&G入息基金X(美元避險月配後收),平衡型(混合型),平衡型(混合型),全球,混合,美元,富盛證券投資顧問股份有限公司,M&G LUXEMBOURG S.A.,20241205,10.3938
20241207,AYA,LU0801099465,瀚亞投資-亞洲非投資等級債券基金A(美元),固定收益型,非投資等級債券,區域,亞洲太平洋(不含日本),美元,瀚亞證券投資信託股份有限公司,瀚亞投資(盧森堡)股份有限公司/EASTSPRING INVESTMENTS (LUXEMBOURG) S.A.,20241205,9.835
20241207,AYT,LU2386887280,瀚亞投資-亞洲非投資等級債券基金T3dmc1(美元後收穩定月配),固定收益型,非投資等級債券,區域,亞洲太平洋(不含日本),美元,瀚亞證券投資信託股份有限公司,瀚亞投資(盧森堡)股份有限公司/EASTSPRING INVESTMENTS (LUXEMBOURG) S.A.,20241205,5.4
20241207,BLKAEFDD,LU0329593262,貝萊德世界金融基金 D2 美元,股票型,金融,全球,已開發市場,美元,貝萊德證券投資信託股份有限公司 ,BLACKROCK INVESTMENT MANAGEMENT (UK) LIMITED,20241205,63.39
20241207,BLKAEMDU,LU0252970164,貝萊德新興市場基金 D2 美元,股票型,一般型,全球,新興市場,美元,貝萊德證券投資信託股份有限公司 ,BLACKROCK INVESTMENT MANAGEMENT (UK) LIMITED,20241205,43.06
20241207,BLKAEMIU,LU1866970491,貝萊德新興市場基金 I5 美元,股票型,一般型,全球,新興市場,美元,貝萊德證券投資信託股份有限公司 ,BLACKROCK INVESTMENT MANAGEMENT (UK) LIMITED,20241205,10.92
20241207,BLKAEWDU,LU0252969075,貝萊德世界能源基金 D2 美元,股票型,能源,全球,已開發市場,美元,貝萊德證券投資信託股份有限公司 ,BLACKROCK INVESTMENT MANAGEMENT (UK) LIMITED,20241205,29.92
20241207,BLKAGLED,LU0329592538,貝萊德環球資產配置基金 D2 美元,平衡型(混合型),平衡型(混合型),全球,已開發市場,美元,貝萊德證券投資信託股份有限公司 ,BLACKROCK INVESTMENT MANAGEMENT (UK) LIMITED,20241205,93.15
20241207,BLKAGMDU,LU0252968424,貝萊德世界黃金基金 D2 美元,股票型,黃金貴金屬,全球,已開發市場,美元,貝萊德證券投資信託股份有限公司 ,BLACKROCK INVESTMENT MANAGEMENT (UK) LIMITED,20241205,49.41
20241207,BLKAGXAU,LU2533724436,貝萊德世界黃金基金 A10美元(總報酬穩定配息),股票型,黃金貴金屬,全球,已開發市場,美元,貝萊德證券投資信託股份有限公司 ,BLACKROCK INVESTMENT MANAGEMENT (UK) LIMITED,20241205,13.96
20241207,BLKAGXTU,LU2471418710,貝萊德世界黃金基金 X10 美元,股票型,黃金貴金屬,全球,已開發市場,美元,貝萊德證券投資信託股份有限公司 ,BLACKROCK INVESTMENT MANAGEMENT (UK) LIMITED,20241205,10.85
20241207,BLKAHADE,LU0297941899,貝萊德環球非投資等級債券基金 D2 美元,固定收益型,非投資等級債券,全球,已開發市場,美元,貝萊德證券投資信託股份有限公司 ,BLACKROCK INVESTMENT MANAGEMENT (UK) LIMITED,20241205,34.49
20241207,BLKAHWAD,LU0329593007,貝萊德世界健康科學基金 D2 美元,股票型,醫療健康護理,全球,已開發市場,美元,貝萊德證券投資信託股份有限公司 ,BLACKROCK INVESTMENT MANAGEMENT (UK) LIMITED,20241205,79.6
20241207,BLKAMWDU,LU0252968341,貝萊德世界礦業基金 D2 美元,股票型,天然資源,全球,已開發市場,美元,貝萊德證券投資信託股份有限公司 ,BLACKROCK INVESTMENT MANAGEMENT (UK) LIMITED,20241205,71.86
20241207,BLKANEDU,LU0252969661,貝萊德永續能源基金 D2 美元,股票型,替代能源,全球,已開發市場,美元,貝萊德證券投資信託股份有限公司 ,BLACKROCK INVESTMENT MANAGEMENT (UK) LIMITED,20241205,19
20241207,BLKANODT,LU0341384864,貝萊德美國中型企業價值基金 D2 美元,股票型,中小型,區域,北美,美元,貝萊德證券投資信託股份有限公司 ,BLACKROCK INVESTMENT MANAGEMENT (UK) LIMITED,20241205,445.68
20241207,BLKBEMUI,LU2369862763,貝萊德新興市場基金I2美元,股票型,一般型,全球,新興市場,美元,貝萊德證券投資信託股份有限公司 ,BLACKROCK INVESTMENT MANAGEMENT (UK) LIMITED,20241205,15.09
20241207,BLKBIAUT,LU0425308086,貝萊德全球通膨連結債券基金 A2 美元,固定收益型,通膨聯繫債券,全球,已開發市場,美元,貝萊德證券投資信託股份有限公司 ,BLACKROCK INVESTMENT MANAGEMENT (UK) LIMITED,20241205,16.6
20241207,BLKBIDUT,LU0724618193,貝萊德印度基金 D2 美元,股票型,一般型,單一國家,印度,美元,貝萊德證券投資信託股份有限公司 ,BLACKROCK INVESTMENT MANAGEMENT (UK) LIMITED,20241205,65.96
20241207,BLKBUBBT,LU0540001038,貝萊德環球政府債券基金 D2 美元,固定收益型,政府債,全球,已開發市場,美元,貝萊德證券投資信託股份有限公司 ,BLACKROCK INVESTMENT MANAGEMENT (UK) LIMITED,20241205,31.51
20241207,BLKBUGMT,LU0424777026,貝萊德美國政府房貸債券基金 D2 美元,固定收益型,政府債,區域,北美,美元,貝萊德證券投資信託股份有限公司 ,BLACKROCK INVESTMENT MANAGEMENT (UK) LIMITED,20241205,19.8
20241207,BLKBVDDU,LU0275209954,貝萊德美國價值型基金 D2 美元,股票型,一般型,區域,北美,美元,貝萊德證券投資信託股份有限公司 ,BLACKROCK INVESTMENT MANAGEMENT (UK) LIMITED,20241205,156.14
20241207,BLKBVPAU,LU2533723545,貝萊德美國價值型基金A10美元(總報酬穩定配息),股票型,一般型,區域,北美,美元,貝萊德證券投資信託股份有限公司 ,BLACKROCK INVESTMENT MANAGEMENT (UK) LIMITED,20241205,11.21
20241207,BLKBVPFA,LU0162691827,貝萊德美國價值型基金 A4美元,股票型,一般型,區域,北美,美元,貝萊德證券投資信託股份有限公司 ,BLACKROCK INVESTMENT MANAGEMENT (UK) LIMITED,20241205,133.13
20241207,BLKBVPMA,LU0072461881,貝萊德美國價值型基金 A2 美元,股票型,一般型,區域,北美,美元,貝萊德證券投資信託股份有限公司 ,BLACKROCK INVESTMENT MANAGEMENT (UK) LIMITED,20241205,135.99
20241207,BLKCAPMA,LU0054578231,貝萊德智慧數據永續環球小型企業基金 A2 美元,股票型,中小型,全球,已開發市場,美元,貝萊德證券投資信託股份有限公司 ,BLACKROCK INVESTMENT MANAGEMENT (UK) LIMITED,20241205,166.1
20241207,BLKCCAAU,LU2533723891,貝萊德中國基金A10美元(總報酬穩定配息),股票型,一般型,區域,中國大陸及香港,美元,貝萊德證券投資信託股份有限公司 ,BLACKROCK INVESTMENT MANAGEMENT (UK) LIMITED,20241205,10.32
20241207,BLKCCAUT,LU0359201612,貝萊德中國基金 A2 美元,股票型,一般型,區域,中國大陸及香港,美元,貝萊德證券投資信託股份有限公司 ,BLACKROCK INVESTMENT MANAGEMENT (UK) LIMITED,20241205,16.31
20241207,BLKCCDUT,LU0359204475,貝萊德中國基金 D2 美元,股票型,一般型,區域,中國大陸及香港,美元,貝萊德證券投資信託股份有限公司 ,BLACKROCK INVESTMENT MANAGEMENT (UK) LIMITED,20241205,18.28
20241207,BLKCHIAA,LU0172419151,貝萊德美元非投資等級債券基金 A3 美元,固定收益型,非投資等級債券,區域,北美,美元,貝萊德證券投資信託股份有限公司 ,BLACKROCK INVESTMENT MANAGEMENT (UK) LIMITED,20241205,5.59
